+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |hart                |2              |     |       |                    |               |
|          |bodily              |2              |     |       |                    |               |
|          |quadrupeds          |2              |     |       |                    |               |
|          |slide               |2              |     |       |                    |               |
|          |frighten            |2              |     |       |                    |               |
|          |igneous             |2              |     |       |                    |               |
|          |faintly             |2              |     |       |                    |               |
|          |repeat              |2              |     |       |                    |               |
|          |swiftest            |2              |     |       |                    |               |
|          |draws               |2              |     |       |                    |               |
|          |separate            |2              |     |       |                    |               |
|          |joyful              |2              |     |       |                    |               |
|          |centigrade          |2              |     |       |                    |               |
|          |relic               |2              |     |       |                    |               |
|          |disclaimer          |2              |     |       |                    |               |
|          |successively        |2              |     |       |                    |               |
|          |problems            |2              |     |       |                    |               |
|          |haze                |2              |     |       |                    |               |
|          |costs               |2              |     |       |                    |               |
|          |sections            |2              |     |       |                    |               |
|          |ape                 |2              |     |       |                    |               |
|          |sedimentary         |2              |     |       |                    |               |
|          |outbreak            |2              |     |       |                    |               |
|          |lashing             |2              |     |       |                    |               |
|          |owed                |2              |     |       |                    |               |
|          |hardened            |2              |     |       |                    |               |
|          |shop                |2              |     |       |                    |               |
|          |gyrations           |2              |     |       |                    |               |
|          |infer               |2              |     |       |                    |               |
|          |impracticable       |2              |     |       |                    |               |
|          |dismal              |2              |     |       |                    |               |
|          |shod                |2              |     |       |                    |               |
|          |systems             |2              |     |       |                    |               |
|          |sunlight            |2              |     |       |                    |               |
|          |depended            |2              |     |       |                    |               |
|          |retraced            |2              |     |       |                    |               |
|          |philosophical       |2              |     |       |                    |               |
|          |conclusions         |2              |     |       |                    |               |
|          |negative            |2              |     |       |                    |               |
|          |formats             |2              |     |       |                    |               |
|          |passengers          |2              |     |       |                    |               |
|          |essential           |2              |     |       |                    |               |
|          |deadly              |2              |     |       |                    |               |
|          |inverted            |2              |     |       |                    |               |
|          |inert               |2              |     |       |                    |               |
|          |native              |2              |     |       |                    |               |
|          |caprice             |2              |     |       |                    |               |
|          |array               |2              |     |       |                    |               |
|          |nej                 |2              |     |       |                    |               |
|          |justify             |2              |     |       |                    |               |
|          |daring              |2              |     |       |                    |               |
|          |demanded            |2              |     |       |                    |               |
|          |sweden              |2              |     |       |                    |               |
|          |here's              |2              |     |       |                    |               |
|          |treasures           |2              |     |       |                    |               |
|          |precedent           |2              |     |       |                    |               |
|          |stalactites         |2              |     |       |                    |               |
|          |suffragan           |2              |     |       |                    |               |
|          |scalding            |2              |     |       |                    |               |
|          |sluggish            |2              |     |       |                    |               |
|          |tumbling            |2              |     |       |                    |               |
|          |universal           |2              |     |       |                    |               |
|          |destiny             |2              |     |       |                    |               |
|          |reddish             |2              |     |       |                    |               |
|          |nations             |2              |     |       |                    |               |
|          |accelerate          |2              |     |       |                    |               |
|          |hill                |2              |     |       |                    |               |
|          |europe              |2              |     |       |                    |               |
|          |september           |2              |     |       |                    |               |
|          |reappeared          |2              |     |       |                    |               |
|          |envy                |2              |     |       |                    |               |
|          |rare                |2              |     |       |                    |               |
|          |countless           |2              |     |       |                    |               |
|          |awaking             |2              |     |       |                    |               |
|          |circle              |2              |     |       |                    |               |
|          |guided              |2              |     |       |                    |               |
|          |problem             |2              |     |       |                    |               |
|          |evaporation         |2              |     |       |                    |               |
|          |remedy              |2              |     |       |                    |               |
|          |rash                |2              |     |       |                    |               |
|          |tender              |2              |     |       |                    |               |
|          |velvet              |2              |     |       |                    |               |
|          |treatment           |2              |     |       |                    |               |
|          |hasten              |2              |     |       |                    |               |
|          |exclamations        |2              |     |       |                    |               |
|          |immensity           |2              |     |       |                    |               |
|          |overhanging         |2              |     |       |                    |               |
|          |accordance          |2              |     |       |                    |               |
|          |conformation        |2              |     |       |                    |               |
|          |exposed             |2              |     |       |                    |               |
|          |boils               |2              |     |       |                    |               |
|          |garden              |2              |     |       |                    |               |
|          |slake               |2              |     |       |                    |               |
|          |adopted             |2              |     |       |                    |               |
|          |pterodactyle        |2              |     |       |                    |               |
|          |ignorant            |2              |     |       |                    |               |
|          |unsteady            |2              |     |       |                    |               |
|          |engagement          |2              |     |       |                    |               |
|          |consul              |2              |     |       |                    |               |
|          |dirty               |2              |     |       |                    |               |
|          |daylight            |2              |     |       |                    |               |
|          |articulate          |2              |     |       |                    |               |
|          |elsewhere           |2              |     |       |                    |               |
|          |exchange            |2              |     |       |                    |               |
|          |moorings            |2              |     |       |                    |               |
|          |probable            |2              |     |       |                    |               |
|          |boër                |2              |     |       |                    |               |
|          |computers           |2              |     |       |                    |               |
|          |launched            |2              |     |       |                    |               |
|          |embarrassment       |2              |     |       |                    |               |
|          |confidence          |2              |     |       |                    |               |
|          |shipwrecked         |2              |     |       |                    |               |
|          |chair               |2              |     |       |                    |               |
|          |throughout          |2              |     |       |                    |               |
|          |absurdity           |2              |     |       |                    |               |
|          |increases           |2              |     |       |                    |               |
|          |total               |2              |     |       |                    |               |
|          |northward           |2              |     |       |                    |               |
|          |search              |2              |     |       |                    |               |
|          |spitzbergen         |2              |     |       |                    |               |
|          |primeval            |2              |     |       |                    |               |
|          |shoeing             |2              |     |       |                    |               |
|          |computer            |2              |     |       |                    |               |
|          |one's               |2              |     |       |                    |               |
|          |locations           |2              |     |       |                    |               |
|          |desired             |2              |     |       |                    |               |
|          |ones                |2              |     |       |                    |               |
|          |vernacular          |2              |     |       |                    |               |
|          |aeronauts           |2              |     |       |                    |               |
|          |affairs             |2              |     |       |                    |               |
|          |portrait            |2              |     |       |                    |               |
|          |example             |2              |     |       |                    |               |
|          |vines               |2              |     |       |                    |               |
|          |types               |2              |     |       |                    |               |
|          |pond                |2              |     |       |                    |               |
|          |employed            |2              |     |       |                    |               |
|          |objection           |2              |     |       |                    |               |
|          |backwards           |2              |     |       |                    |               |
|          |roughly             |2              |     |       |                    |               |
|          |relieved            |2              |     |       |                    |               |
|          |huger               |2              |     |       |                    |               |
|          |sighted             |2              |     |       |                    |               |
|          |trachytic           |2              |     |       |                    |               |
|          |abandon             |2              |     |       |                    |               |
|          |oak                 |2              |     |       |                    |               |
|          |miners              |2              |     |       |                    |               |
|          |save                |2              |     |       |                    |               |
|          |barriers            |2              |     |       |                    |               |
|          |flint               |2              |     |       |                    |               |
|          |fling               |2              |     |       |                    |               |
|          |copied              |2              |     |       |                    |               |
|          |sinewy              |2              |     |       |                    |               |
|          |oars                |2              |     |       |                    |               |
|          |plummet             |2              |     |       |                    |               |
|          |legion              |2              |     |       |                    |               |
|          |preparing           |2              |     |       |                    |               |
|          |climates            |2              |     |       |                    |               |
|          |admitted            |2              |     |       |                    |               |
|          |eddies              |2              |     |       |                    |               |
|          |complain            |2              |     |       |                    |               |
|          |pounds              |2              |     |       |                    |               |
|          |thermometers        |2              |     |       |                    |               |
|          |telescope           |2              |     |       |                    |               |
|          |prompt              |2              |     |       |                    |               |
|          |checked             |2              |     |       |                    |               |
|          |seize               |2              |     |       |                    |               |
|          |excursion           |2              |     |       |                    |               |
|          |what's              |2              |     |       |                    |               |
|          |demonstrate         |2              |     |       |                    |               |
|          |earthly             |2              |     |       |                    |               |
|          |dispute             |2              |     |       |                    |               |
|          |require             |2              |     |       |                    |               |
|          |tufa                |2              |     |       |                    |               |
|          |devoted             |2              |     |       |                    |               |
|          |royalties           |2              |     |       |                    |               |
|          |facility            |2              |     |       |                    |               |
|          |rail                |2              |     |       |                    |               |
|          |disposition         |2              |     |       |                    |               |
|          |cups                |2              |     |       |                    |               |
|          |sweeps              |2              |     |       |                    |               |
|          |antipodes           |2              |     |       |                    |               |
|          |whence              |2              |     |       |                    |               |
|          |compare             |2              |     |       |                    |               |
|          |dispersed           |2              |     |       |                    |               |
|          |locked              |2              |     |       |                    |               |
|          |earthquakes         |2              |     |       |                    |               |
|          |minds               |2              |     |       |                    |               |
|          |highly              |2              |     |       |                    |               |
|          |miracle             |2              |     |       |                    |               |
|          |plumed              |2              |     |       |                    |               |
|          |vadmel              |2              |     |       |                    |               |
|          |fame                |2              |     |       |                    |               |
|          |intention           |2              |     |       |                    |               |
|          |woods               |2              |     |       |                    |               |
|          |sparkled            |2              |     |       |                    |               |
|          |occupied            |2              |     |       |                    |               |
|          |married             |2              |     |       |                    |               |
|          |contagious          |2              |     |       |                    |               |
|          |unfold              |2              |     |       |                    |               |
|          |affirmative         |2              |     |       |                    |               |
|          |partly              |2              |     |       |                    |               |
|          |flickering          |2              |     |       |                    |               |
|          |member              |2              |     |       |                    |               |
|          |refit               |2              |     |       |                    |               |
|          |ebbing              |2              |     |       |                    |               |
|          |gratitude           |2              |     |       |                    |               |
|          |conviction          |2              |     |       |                    |               |
|          |cheered             |2              |     |       |                    |               |
|          |bank                |2              |     |       |                    |               |
|          |trains              |2              |     |       |                    |               |
|          |gentleman           |2              |     |       |                    |               |
|          |extinguished        |2              |     |       |                    |               |
|          |names               |2              |     |       |                    |               |
|          |kirk                |2              |     |       |                    |               |
|          |signalled           |2              |     |       |                    |               |
|          |tale                |2              |     |       |                    |               |
|          |lessons             |2              |     |       |                    |               |
|          |feebly              |2              |     |       |                    |               |
|          |crustaceans         |2              |     |       |                    |               |
|          |source              |2              |     |       |                    |               |
|          |convey              |2              |     |       |                    |               |
|          |widest              |2              |     |       |                    |               |
|          |intolerable         |2              |     |       |                    |               |
|          |consists            |2              |     |       |                    |               |
|          |holes               |2              |     |       |                    |               |
|          |entering            |2              |     |       |                    |               |
|          |greenland           |2              |     |       |                    |               |
|          |eagerly             |2              |     |       |                    |               |
|          |sciences            |2              |     |       |                    |               |
|          |holstein            |2              |     |       |                    |               |
|          |argument            |2              |     |       |                    |               |
|          |abatement           |2              |     |       |                    |               |
|          |presents            |2              |     |       |                    |               |
|          |muttered            |2              |     |       |                    |               |
|          |imperceptible       |2              |     |       |                    |               |
|          |boxes               |2              |     |       |                    |               |
|          |cleft               |2              |     |       |                    |               |
|          |hearts              |2              |     |       |                    |               |
|          |inevitable          |2              |     |       |                    |               |
|          |stupendous          |2              |     |       |                    |               |
|          |comforting          |2              |     |       |                    |               |
|          |strode              |2              |     |       |                    |               |
|          |letting             |2              |     |       |                    |               |
|          |gestures            |2              |     |       |                    |               |
|          |boggy               |2              |     |       |                    |               |
|          |meantime            |2              |     |       |                    |               |
|          |beneficent          |2              |     |       |                    |               |
|          |moulin              |2              |     |       |                    |               |
|          |federal             |2              |     |       |                    |               |
|          |uninteresting       |2              |     |       |                    |               |
|          |regular             |2              |     |       |                    |               |
|          |tree                |2              |     |       |                    |               |
|          |crews               |2              |     |       |                    |               |
|          |replies             |2              |     |       |                    |               |
|          |trembled            |2              |     |       |                    |               |
|          |beheld              |2              |     |       |                    |               |
|          |apartment           |2              |     |       |                    |               |
|          |foretold            |2              |     |       |                    |               |
|          |stored              |2              |     |       |                    |               |
|          |stammered           |2              |     |       |                    |               |
|          |underwent           |2              |     |       |                    |               |
|          |trap                |2              |     |       |                    |               |
|          |presentiment        |2              |     |       |                    |               |
|          |pony                |2              |     |       |                    |               |
|          |manometer           |2              |     |       |                    |               |
|          |penetrating         |2              |     |       |                    |               |
|          |troubling           |2              |     |       |                    |               |
|          |dawned              |2              |     |       |                    |               |
|          |degraded            |2              |     |       |                    |               |
|          |hues                |2              |     |       |                    |               |
|          |blowers             |2              |     |       |                    |               |
|          |singularly          |2              |     |       |                    |               |
|          |boring              |2              |     |       |                    |               |
|          |brow                |2              |     |       |                    |               |
|          |well-known          |2              |     |       |                    |               |
|          |hospital            |2              |     |       |                    |               |
|          |spades              |2              |     |       |                    |               |
|          |disastrous          |2              |     |       |                    |               |
|          |sounded             |2              |     |       |                    |               |
|          |distressed          |2              |     |       |                    |               |
|          |pasture             |2              |     |       |                    |               |
|          |conduct             |2              |     |       |                    |               |
|          |hostess             |2              |     |       |                    |               |
|          |legendary           |2              |     |       |                    |               |
|          |occupying           |2              |     |       |                    |               |
|          |gloom               |2              |     |       |                    |               |
|          |smiling             |2              |     |       |                    |               |
|          |boulders            |2              |     |       |                    |               |
|          |reward              |2              |     |       |                    |               |
|          |begins              |2              |     |       |                    |               |
|          |impossibility       |2              |     |       |                    |               |
|          |glistening          |2              |     |       |                    |               |
|          |encased             |2              |     |       |                    |               |
|          |nitrogen            |2              |     |       |                    |               |
|          |decayed             |2              |     |       |                    |               |
|          |leaps               |2              |     |       |                    |               |
|          |pertubata           |2              |     |       |                    |               |
|          |arborescent         |2              |     |       |                    |               |
|          |nobody              |2              |     |       |                    |               |
|          |lectures            |2              |     |       |                    |               |
|          |confirmation        |2              |     |       |                    |               |
|          |excavation          |2              |     |       |                    |               |
|          |suffocating         |2              |     |       |                    |               |
|          |heartily            |2              |     |       |                    |               |
|          |simplicity          |2              |     |       |                    |               |
|          |corrections         |2              |     |       |                    |               |
|          |thinnest            |2              |     |       |                    |               |
|          |henceforth          |2              |     |       |                    |               |
|          |distorted           |2              |     |       |                    |               |
|          |parched             |2              |     |       |                    |               |
|          |molluscs            |2              |     |       |                    |               |
|          |elephant            |2              |     |       |                    |               |
|          |suited              |2              |     |       |                    |               |
|          |limestones          |2              |     |       |                    |               |
|          |cavernous           |2              |     |       |                    |               |
|          |momentous           |2              |     |       |                    |               |
|          |pyramids            |2              |     |       |                    |               |
|          |chorus              |2              |     |       |                    |               |
|          |firearms            |2              |     |       |                    |               |
|          |extremely           |2              |     |       |                    |               |
|          |discoverer          |2              |     |       |                    |               |
|          |dragging            |2              |     |       |                    |               |
|          |weigh               |2              |     |       |                    |               |
|          |incomplete          |2              |     |       |                    |               |
|          |blumenbach          |2              |     |       |                    |               |
|          |imposing            |2              |     |       |                    |               |
|          |marbles             |2              |     |       |                    |               |
|          |faroes              |2              |     |       |                    |               |
|          |shame               |2              |     |       |                    |               |
|          |reviving            |2              |     |       |                    |               |
|          |launch              |2              |     |       |                    |               |
|          |encountered         |2              |     |       |                    |               |
|          |king                |2              |     |       |                    |               |
|          |scales              |2              |     |       |                    |               |
|          |correctly           |2              |     |       |                    |               |
|          |research            |2              |     |       |                    |               |
|          |balancing           |2              |     |       |                    |               |
|          |inextricable        |2              |     |       |                    |               |
|          |trifling            |2              |     |       |                    |               |
|          |imprudent           |2              |     |       |                    |               |
|          |gear                |2              |     |       |                    |               |
|          |woman               |2              |     |       |                    |               |
|          |tack                |2              |     |       |                    |               |
|          |hazardous           |2              |     |       |                    |               |
|          |shoes               |2              |     |       |                    |               |
|          |obedience           |2              |     |       |                    |               |
|          |beverage            |2              |     |       |                    |               |
|          |fading              |2              |     |       |                    |               |
|          |miniature           |2              |     |       |                    |               |
|          |denser              |2              |     |       |                    |               |
|          |claimed             |2              |     |       |                    |               |
|          |efface              |1              |     |       |                    |               |
|          |profession          |1              |     |       |                    |               |
|          |indignation         |1              |     |       |                    |               |
|          |upheave             |1              |     |       |                    |               |
|          |snæfell's           |1              |     |       |                    |               |
|          |globe—is            |1              |     |       |                    |               |
|          |declared            |1              |     |       |                    |               |
|          |steadiness          |1              |     |       |                    |               |
|          |fuci                |1              |     |       |                    |               |
|          |jew                 |1              |     |       |                    |               |
|          |babylon             |1              |     |       |                    |               |
|          |cage                |1              |     |       |                    |               |
|          |toylike             |1              |     |       |                    |               |
|          |evolution           |1              |     |       |                    |               |
|          |incandescence       |1              |     |       |                    |               |
|          |european            |1              |     |       |                    |               |
|          |unstrung            |1              |     |       |                    |               |
|          |passers-by          |1              |     |       |                    |               |
|          |torrid              |1              |     |       |                    |               |
|          |lilliputian         |1              |     |       |                    |               |
|          |clouded             |1              |     |       |                    |               |
|          |uttering            |1              |     |       |                    |               |
|          |chairs              |1              |     |       |                    |               |
|          |accordingly         |1              |     |       |                    |               |
|          |parted              |1              |     |       |                    |               |
|          |elephants           |1              |     |       |                    |               |
|          |relied              |1              |     |       |                    |               |
|          |neighing            |1              |     |       |                    |               |
|          |meek                |1              |     |       |                    |               |
|          |guise               |1              |     |       |                    |               |
|          |grotesque           |1              |     |       |                    |               |
|          |declares            |1              |     |       |                    |               |
|          |d                   |1              |     |       |                    |               |
|          |c                   |1              |     |       |                    |               |
|          |invisible           |1              |     |       |                    |               |
|          |adaptations         |1              |     |       |                    |               |
|          |brays               |1              |     |       |                    |               |
|          |elapsed             |1              |     |       |                    |               |
|          |automaton           |1              |     |       |                    |               |
|          |v                   |1              |     |       |                    |               |
|          |implacable          |1              |     |       |                    |               |
|          |molybdenites        |1              |     |       |                    |               |
|          |redistribute        |1              |     |       |                    |               |
|          |zone                |1              |     |       |                    |               |
|          |invader             |1              |     |       |                    |               |
|          |basis               |1              |     |       |                    |               |
|          |infant              |1              |     |       |                    |               |
|          |inflexible          |1              |     |       |                    |               |
|          |echo                |1              |     |       |                    |               |
|          |dined               |1              |     |       |                    |               |
|          |sonorousness        |1              |     |       |                    |               |
|          |jar                 |1              |     |       |                    |               |
|          |affectionate        |1              |     |       |                    |               |
|          |composition         |1              |     |       |                    |               |
|          |bespoke             |1              |     |       |                    |               |
|          |nedat               |1              |     |       |                    |               |
|          |rammed              |1              |     |       |                    |               |
|          |mislead             |1              |     |       |                    |               |
|          |deviations          |1              |     |       |                    |               |
|          |half-convinced      |1              |     |       |                    |               |
|          |miscellaneous       |1              |     |       |                    |               |
|          |wheeled             |1              |     |       |                    |               |
|          |planted             |1              |     |       |                    |               |
|          |learning—a          |1              |     |       |                    |               |
|          |generous            |1              |     |       |                    |               |
|          |twin                |1              |     |       |                    |               |
|          |shrugged            |1              |     |       |                    |               |
|          |quietness           |1              |     |       |                    |               |
|          |mein                |1              |     |       |                    |               |
|          |brats               |1              |     |       |                    |               |
|          |whiteness           |1              |     |       |                    |               |
|          |rixdales            |1              |     |       |                    |               |
|          |promontories        |1              |     |       |                    |               |
|          |trillions           |1              |     |       |                    |               |
|          |assigned            |1              |     |       |                    |               |
|          |assertion           |1              |     |       |                    |               |
|          |reaches             |1              |     |       |                    |               |
|          |peruse              |1              |     |       |                    |               |
|          |flush               |1              |     |       |                    |               |
|          |lowered             |1              |     |       |                    |               |
|          |adding              |1              |     |       |                    |               |
|          |accessed            |1              |     |       |                    |               |
|          |cumulus             |1              |     |       |                    |               |
|          |broth               |1              |     |       |                    |               |
|          |rigour              |1              |     |       |                    |               |
|          |zeal                |1              |     |       |                    |               |
|          |mesopitheca         |1              |     |       |                    |               |
|          |alight              |1              |     |       |                    |               |
|          |pulverized          |1              |     |       |                    |               |
|          |mastodons—not       |1              |     |       |                    |               |
|          |interpreted         |1              |     |       |                    |               |
|          |robs                |1              |     |       |                    |               |
|          |assured             |1              |     |       |                    |               |
|          |resign              |1              |     |       |                    |               |
|          |patches             |1              |     |       |                    |               |
